FIL2,HAL2
NA,PhHAL.1G303700
NA,PhHAL.1G306300
NA,PhHAL.1G306900
NA,PhHAL.1G307100
NA,PhHAL.1G308600
NA,PhHAL.1G309800
NA,PhHAL.1G310100
NA,PhHAL.1G311000
NA,PhHAL.1G323700
NA,PhHAL.1G330500
NA,PhHAL.1G332700
NA,PhHAL.1G335600
NA,PhHAL.1G337700
NA,PhHAL.1G339000
NA,PhHAL.1G343800
NA,PhHAL.1G344800
NA,PhHAL.1G345800
NA,PhHAL.1G348900
NA,PhHAL.1G350600
NA,PhHAL.1G350700
NA,PhHAL.1G352200
NA,PhHAL.1G352900
NA,PhHAL.1G353200
NA,PhHAL.1G358000
NA,PhHAL.1G359800
NA,PhHAL.1G365200
NA,PhHAL.1G366900
NA,PhHAL.1G369600
NA,PhHAL.1G371900
NA,PhHAL.1G372200
NA,PhHAL.1G374900
NA,PhHAL.1G375100
NA,PhHAL.1G378300
NA,PhHAL.1G381700
NA,PhHAL.1G384000
NA,PhHAL.1G385100
NA,PhHAL.1G385600
NA,PhHAL.1G387100
NA,PhHAL.1G387800
NA,PhHAL.1G388000
NA,PhHAL.1G388100
NA,PhHAL.1G389700
NA,PhHAL.1G392000
NA,PhHAL.1G394000
NA,PhHAL.1G396500
NA,PhHAL.1G399500
NA,PhHAL.1G403300
NA,PhHAL.1G403900
NA,PhHAL.1G405500
NA,PhHAL.1G406000
NA,PhHAL.1G408600
NA,PhHAL.1G413400
NA,PhHAL.1G413600
NA,PhHAL.1G422300
NA,PhHAL.1G422500
NA,PhHAL.1G424700
NA,PhHAL.1G424800
NA,PhHAL.1G424900
NA,PhHAL.1G426100
NA,PhHAL.1G427400
NA,PhHAL.1G429800
NA,PhHAL.1G432700
NA,PhHAL.1G432800
NA,PhHAL.1G432900
NA,PhHAL.1G433400
NA,PhHAL.1G434700
NA,PhHAL.1G436400
NA,PhHAL.1G437700
NA,PhHAL.1G439300
NA,PhHAL.1G440100
NA,PhHAL.1G440800
NA,PhHAL.1G444500
NA,PhHAL.1G448000
NA,PhHAL.1G448100
NA,PhHAL.1G449400
NA,PhHAL.2G003700
NA,PhHAL.2G003800
NA,PhHAL.2G004300
NA,PhHAL.2G004700
NA,PhHAL.2G006300
NA,PhHAL.2G007900
NA,PhHAL.2G009200
NA,PhHAL.2G009800
NA,PhHAL.2G012900
NA,PhHAL.2G015100
NA,PhHAL.2G016900
NA,PhHAL.2G017200
NA,PhHAL.2G018800
NA,PhHAL.2G018900
NA,PhHAL.2G019600
NA,PhHAL.2G020600
NA,PhHAL.2G025800
NA,PhHAL.2G030400
NA,PhHAL.2G033800
NA,PhHAL.2G035800
NA,PhHAL.2G037300
NA,PhHAL.2G037400
NA,PhHAL.2G037500
NA,PhHAL.2G037800
NA,PhHAL.2G039200
NA,PhHAL.2G040600
NA,PhHAL.2G040700
NA,PhHAL.2G041000
NA,PhHAL.2G041300
NA,PhHAL.2G041600
NA,PhHAL.2G042800
NA,PhHAL.2G043300
NA,PhHAL.2G043500
NA,PhHAL.2G043600
NA,PhHAL.2G044000
NA,PhHAL.2G044100
NA,PhHAL.2G044800
NA,PhHAL.2G045700
NA,PhHAL.2G047100
NA,PhHAL.2G047500
NA,PhHAL.2G047600
NA,PhHAL.2G049000
NA,PhHAL.2G049600
NA,PhHAL.2G050000
NA,PhHAL.2G050700
NA,PhHAL.2G054200
NA,PhHAL.2G054500
NA,PhHAL.2G059000
NA,PhHAL.2G059700
NA,PhHAL.2G061000
NA,PhHAL.2G062900
NA,PhHAL.2G063600
NA,PhHAL.2G064900
NA,PhHAL.2G065900
NA,PhHAL.2G068700
NA,PhHAL.2G068900
NA,PhHAL.2G070700
NA,PhHAL.2G071000
NA,PhHAL.2G077000
NA,PhHAL.2G077100
NA,PhHAL.2G079300
NA,PhHAL.2G079900
NA,PhHAL.2G080200
NA,PhHAL.2G081100
NA,PhHAL.2G081500
NA,PhHAL.2G084700
NA,PhHAL.2G086800
NA,PhHAL.2G088800
NA,PhHAL.2G089800
NA,PhHAL.2G090700
NA,PhHAL.2G091000
NA,PhHAL.2G092400
NA,PhHAL.2G094900
NA,PhHAL.2G100900
NA,PhHAL.2G105300
NA,PhHAL.2G105600
NA,PhHAL.2G107000
NA,PhHAL.2G107300
NA,PhHAL.2G107800
NA,PhHAL.2G110500
NA,PhHAL.2G110700
NA,PhHAL.2G110800
NA,PhHAL.2G110900
NA,PhHAL.2G111500
NA,PhHAL.2G111600
NA,PhHAL.2G112000
NA,PhHAL.2G112100
NA,PhHAL.2G112400
NA,PhHAL.2G113400
NA,PhHAL.2G113600
NA,PhHAL.2G116200
NA,PhHAL.2G119700
NA,PhHAL.2G121500
NA,PhHAL.2G124100
NA,PhHAL.2G124600
NA,PhHAL.2G127600
NA,PhHAL.2G130600
NA,PhHAL.2G130800
NA,PhHAL.2G135500
NA,PhHAL.2G136600
NA,PhHAL.2G137500
NA,PhHAL.2G137700
NA,PhHAL.2G137800
NA,PhHAL.2G143500
NA,PhHAL.2G147200
NA,PhHAL.2G147900
NA,PhHAL.2G148500
NA,PhHAL.2G148700
NA,PhHAL.2G151500
NA,PhHAL.2G152700
NA,PhHAL.2G152800
NA,PhHAL.2G153900
NA,PhHAL.2G154400
NA,PhHAL.2G155300
NA,PhHAL.2G155400
NA,PhHAL.2G156600
NA,PhHAL.2G159000
NA,PhHAL.2G163800
NA,PhHAL.2G164600
NA,PhHAL.2G168500
NA,PhHAL.2G169400
NA,PhHAL.2G170900
NA,PhHAL.2G179300
NA,PhHAL.2G185900
NA,PhHAL.2G188000
NA,PhHAL.2G188900
NA,PhHAL.2G189000
NA,PhHAL.2G190700
NA,PhHAL.2G199400
NA,PhHAL.2G199500
NA,PhHAL.2G199800
NA,PhHAL.2G201900
NA,PhHAL.2G203500
NA,PhHAL.2G206900
NA,PhHAL.2G207200
NA,PhHAL.2G207300
NA,PhHAL.2G207400
NA,PhHAL.2G209400
NA,PhHAL.2G209500
NA,PhHAL.2G209700
NA,PhHAL.2G211900
NA,PhHAL.2G212200
NA,PhHAL.2G213900
NA,PhHAL.2G215700
NA,PhHAL.2G216000
NA,PhHAL.2G216600
NA,PhHAL.2G217000
NA,PhHAL.2G217700
NA,PhHAL.2G220200
NA,PhHAL.2G220600
NA,PhHAL.2G220700
NA,PhHAL.2G221300
NA,PhHAL.2G222900
NA,PhHAL.2G225800
NA,PhHAL.2G228600
NA,PhHAL.2G228800
NA,PhHAL.2G230000
NA,PhHAL.2G232200
NA,PhHAL.2G234700
NA,PhHAL.2G236700
NA,PhHAL.2G238200
NA,PhHAL.2G241200
NA,PhHAL.2G242000
NA,PhHAL.2G242500
NA,PhHAL.2G242600
NA,PhHAL.2G242900
NA,PhHAL.2G250500
NA,PhHAL.2G251300
NA,PhHAL.2G251600
NA,PhHAL.2G253400
NA,PhHAL.2G255100
NA,PhHAL.2G255600
NA,PhHAL.2G256200
NA,PhHAL.2G259700
NA,PhHAL.2G261000
NA,PhHAL.2G264100
NA,PhHAL.2G264300
NA,PhHAL.2G268400
NA,PhHAL.2G268500
NA,PhHAL.2G269300
NA,PhHAL.2G270000
NA,PhHAL.2G270100
NA,PhHAL.2G272000
NA,PhHAL.2G274100
NA,PhHAL.2G276500
NA,PhHAL.2G279000
NA,PhHAL.2G280400
NA,PhHAL.2G283400
NA,PhHAL.2G284300
NA,PhHAL.2G289900
NA,PhHAL.2G293800
NA,PhHAL.2G293900
NA,PhHAL.2G296500
NA,PhHAL.2G296800
NA,PhHAL.2G300900
NA,PhHAL.2G303700
NA,PhHAL.2G303800
NA,PhHAL.2G303900
NA,PhHAL.2G304400
NA,PhHAL.2G307900
NA,PhHAL.2G308200
NA,PhHAL.2G308400
NA,PhHAL.2G308800
NA,PhHAL.2G309500
NA,PhHAL.2G309600
NA,PhHAL.2G310400
NA,PhHAL.2G310800
NA,PhHAL.2G312100
NA,PhHAL.2G312200
NA,PhHAL.2G312300
NA,PhHAL.2G312400
NA,PhHAL.2G312500
NA,PhHAL.2G312700
NA,PhHAL.2G313000
NA,PhHAL.2G317900
NA,PhHAL.2G320500
NA,PhHAL.2G321400
NA,PhHAL.2G324600
NA,PhHAL.2G324900
NA,PhHAL.2G329400
NA,PhHAL.2G331000
NA,PhHAL.2G334500
NA,PhHAL.2G334600
NA,PhHAL.2G335100
NA,PhHAL.2G340700
NA,PhHAL.2G343100
NA,PhHAL.2G345500
NA,PhHAL.2G347200
NA,PhHAL.2G348200
NA,PhHAL.2G352000
NA,PhHAL.2G359900
NA,PhHAL.2G360800
NA,PhHAL.2G363400
NA,PhHAL.2G364000
NA,PhHAL.2G365400
NA,PhHAL.2G366400
NA,PhHAL.2G366900
NA,PhHAL.2G370900
NA,PhHAL.2G371500
NA,PhHAL.2G379400
NA,PhHAL.2G379500
NA,PhHAL.2G379600
NA,PhHAL.2G380100
NA,PhHAL.2G381400
NA,PhHAL.2G386800
NA,PhHAL.2G387700
NA,PhHAL.2G395800
NA,PhHAL.2G396000
NA,PhHAL.2G397700
NA,PhHAL.2G400200
NA,PhHAL.2G402500
NA,PhHAL.2G403600
NA,PhHAL.2G404100
NA,PhHAL.2G405100
NA,PhHAL.2G406200
NA,PhHAL.2G410100
NA,PhHAL.2G411800
NA,PhHAL.2G415300
NA,PhHAL.2G418400
NA,PhHAL.2G419800
NA,PhHAL.2G422000
NA,PhHAL.2G422600
NA,PhHAL.2G423100
NA,PhHAL.2G424400
NA,PhHAL.2G424500
NA,PhHAL.2G428400
NA,PhHAL.2G443100
NA,PhHAL.2G443800
NA,PhHAL.2G444100
NA,PhHAL.2G444600
NA,PhHAL.2G444800
NA,PhHAL.2G446700
NA,PhHAL.2G454200
NA,PhHAL.2G454500
NA,PhHAL.2G458600
NA,PhHAL.2G458700
NA,PhHAL.2G468400
NA,PhHAL.2G469700
NA,PhHAL.2G473400
NA,PhHAL.2G480900
NA,PhHAL.2G481200
NA,PhHAL.2G482100
NA,PhHAL.2G484500
NA,PhHAL.3G000200
NA,PhHAL.3G000300
NA,PhHAL.3G000600
NA,PhHAL.3G000800
NA,PhHAL.3G000900
NA,PhHAL.3G001200
NA,PhHAL.3G001300
NA,PhHAL.3G001400
NA,PhHAL.3G001500
NA,PhHAL.3G001700
NA,PhHAL.3G001800
NA,PhHAL.3G001900
NA,PhHAL.3G002000
NA,PhHAL.3G002400
NA,PhHAL.3G002500
NA,PhHAL.3G003000
NA,PhHAL.3G003200
NA,PhHAL.3G003900
NA,PhHAL.3G004200
NA,PhHAL.3G004300
NA,PhHAL.3G004500
NA,PhHAL.3G004900
NA,PhHAL.3G005000
NA,PhHAL.3G005900
NA,PhHAL.3G006400
NA,PhHAL.3G006500
NA,PhHAL.3G006600
NA,PhHAL.3G007000
NA,PhHAL.3G007100
NA,PhHAL.3G007200
NA,PhHAL.3G008800
NA,PhHAL.3G009000
NA,PhHAL.3G009100
NA,PhHAL.3G009800
NA,PhHAL.3G010000
NA,PhHAL.3G010100
NA,PhHAL.3G010300
NA,PhHAL.3G010900
NA,PhHAL.3G011300
NA,PhHAL.3G011900
NA,PhHAL.3G012000
NA,PhHAL.3G012100
NA,PhHAL.3G013000
NA,PhHAL.3G013400
NA,PhHAL.3G014400
NA,PhHAL.3G014900
NA,PhHAL.3G015100
NA,PhHAL.3G015200
NA,PhHAL.3G015400
NA,PhHAL.3G016100
NA,PhHAL.3G016200
NA,PhHAL.3G016400
NA,PhHAL.3G016500
NA,PhHAL.3G016600
NA,PhHAL.3G017000
NA,PhHAL.3G017500
NA,PhHAL.3G017800
NA,PhHAL.3G018100
NA,PhHAL.3G018600
NA,PhHAL.3G018700
NA,PhHAL.3G019400
NA,PhHAL.3G019600
NA,PhHAL.3G020200
NA,PhHAL.3G020400
NA,PhHAL.3G021500
NA,PhHAL.3G022900
NA,PhHAL.3G025000
NA,PhHAL.3G029800
NA,PhHAL.3G030400
NA,PhHAL.3G030500
NA,PhHAL.3G030600
NA,PhHAL.3G030700
NA,PhHAL.3G031100
NA,PhHAL.3G031200
NA,PhHAL.3G031300
NA,PhHAL.3G031600
NA,PhHAL.3G031900
NA,PhHAL.3G036500
NA,PhHAL.3G036800
NA,PhHAL.3G038800
NA,PhHAL.3G043200
NA,PhHAL.3G047900
NA,PhHAL.3G048500
NA,PhHAL.3G049600
NA,PhHAL.3G052400
NA,PhHAL.3G053300
NA,PhHAL.3G055300
NA,PhHAL.3G056700
NA,PhHAL.3G057200
NA,PhHAL.3G059200
NA,PhHAL.3G060700
NA,PhHAL.3G067500
NA,PhHAL.3G074200
NA,PhHAL.3G075400
NA,PhHAL.3G077500
NA,PhHAL.3G077600
NA,PhHAL.3G078700
NA,PhHAL.3G082700
NA,PhHAL.3G084200
NA,PhHAL.3G086100
NA,PhHAL.3G086200
NA,PhHAL.3G096100
NA,PhHAL.3G096400
NA,PhHAL.3G099100
NA,PhHAL.3G099400
NA,PhHAL.3G100100
NA,PhHAL.3G101600
NA,PhHAL.3G103900
NA,PhHAL.3G107700
NA,PhHAL.3G112700
NA,PhHAL.3G112800
NA,PhHAL.3G118300
NA,PhHAL.3G118600
NA,PhHAL.3G118700
NA,PhHAL.3G119500
NA,PhHAL.3G120700
NA,PhHAL.3G125700
NA,PhHAL.3G126900
NA,PhHAL.3G128000
NA,PhHAL.3G130500
NA,PhHAL.3G132400
NA,PhHAL.3G132500
NA,PhHAL.3G132600
NA,PhHAL.3G133800
NA,PhHAL.3G134100
NA,PhHAL.3G140800
NA,PhHAL.3G140900
NA,PhHAL.3G142400
NA,PhHAL.3G142600
NA,PhHAL.3G144600
NA,PhHAL.3G150600
NA,PhHAL.3G150900
NA,PhHAL.3G153700
NA,PhHAL.3G154100
NA,PhHAL.3G157600
NA,PhHAL.3G158000
NA,PhHAL.3G160600
NA,PhHAL.3G161600
NA,PhHAL.3G161700
NA,PhHAL.3G164000
NA,PhHAL.3G166400
NA,PhHAL.3G168400
NA,PhHAL.3G172400
NA,PhHAL.3G172600
NA,PhHAL.3G172900
NA,PhHAL.3G175600
NA,PhHAL.3G183000
NA,PhHAL.3G183300
NA,PhHAL.3G186300
NA,PhHAL.3G198300
NA,PhHAL.3G200300
NA,PhHAL.3G204000
NA,PhHAL.3G204600
NA,PhHAL.3G207900
NA,PhHAL.3G208600
NA,PhHAL.3G209300
NA,PhHAL.3G216200
NA,PhHAL.3G216300
NA,PhHAL.3G216400
NA,PhHAL.3G216500
NA,PhHAL.3G216600
NA,PhHAL.3G216800
NA,PhHAL.3G217100
NA,PhHAL.3G219400
NA,PhHAL.3G221500
NA,PhHAL.3G221600
NA,PhHAL.3G221700
NA,PhHAL.3G221800
NA,PhHAL.3G221900
NA,PhHAL.3G223300
NA,PhHAL.3G224800
NA,PhHAL.3G229100
NA,PhHAL.3G232200
NA,PhHAL.3G235800
NA,PhHAL.3G235900
NA,PhHAL.3G236300
NA,PhHAL.3G237100
NA,PhHAL.3G238300
NA,PhHAL.3G239800
NA,PhHAL.3G240300
NA,PhHAL.3G246400
NA,PhHAL.3G251500
NA,PhHAL.3G251700
NA,PhHAL.3G252500
NA,PhHAL.3G253100
NA,PhHAL.3G254600
NA,PhHAL.3G254700
NA,PhHAL.3G258100
NA,PhHAL.3G260700
NA,PhHAL.3G262600
NA,PhHAL.3G264200
NA,PhHAL.3G265900
NA,PhHAL.3G268100
NA,PhHAL.3G269300
NA,PhHAL.3G269400
NA,PhHAL.3G274600
NA,PhHAL.3G274900
NA,PhHAL.3G275300
NA,PhHAL.3G276300
NA,PhHAL.3G276800
NA,PhHAL.3G276900
NA,PhHAL.3G279900
NA,PhHAL.3G281200
NA,PhHAL.3G282600
NA,PhHAL.3G283300
NA,PhHAL.3G288300
NA,PhHAL.3G290000
NA,PhHAL.3G293100
NA,PhHAL.3G293400
NA,PhHAL.3G293800
NA,PhHAL.3G294100
NA,PhHAL.3G294300
NA,PhHAL.3G294700
NA,PhHAL.3G294800
NA,PhHAL.3G295100
NA,PhHAL.3G296400
NA,PhHAL.3G301400
NA,PhHAL.3G301500
NA,PhHAL.3G301900
NA,PhHAL.3G302200
NA,PhHAL.3G302400
NA,PhHAL.3G302800
NA,PhHAL.3G302900
NA,PhHAL.3G308600
NA,PhHAL.3G308700
NA,PhHAL.3G309100
NA,PhHAL.3G309200
NA,PhHAL.3G309900
NA,PhHAL.3G310800
NA,PhHAL.3G314000
NA,PhHAL.3G314300
NA,PhHAL.3G314500
NA,PhHAL.3G314600
NA,PhHAL.3G316100
NA,PhHAL.3G317500
NA,PhHAL.3G317900
NA,PhHAL.3G321600
NA,PhHAL.3G330400
NA,PhHAL.3G330700
NA,PhHAL.3G331900
NA,PhHAL.3G332500
NA,PhHAL.3G333500
NA,PhHAL.3G333600
NA,PhHAL.3G335100
NA,PhHAL.3G339400
NA,PhHAL.3G342300
NA,PhHAL.3G343000
NA,PhHAL.3G345200
NA,PhHAL.3G345300
NA,PhHAL.3G345400
NA,PhHAL.3G346400
NA,PhHAL.3G347900
NA,PhHAL.3G348100
NA,PhHAL.3G350300
NA,PhHAL.3G350600
NA,PhHAL.3G355700
NA,PhHAL.3G358100
NA,PhHAL.3G366100
NA,PhHAL.3G367600
NA,PhHAL.3G368000
NA,PhHAL.3G370300
NA,PhHAL.3G372700
NA,PhHAL.3G373400
NA,PhHAL.3G377500
NA,PhHAL.3G378100
NA,PhHAL.3G380700
NA,PhHAL.3G382100
NA,PhHAL.3G387800
NA,PhHAL.3G388400
NA,PhHAL.3G390100
NA,PhHAL.3G392400
NA,PhHAL.3G392500
NA,PhHAL.3G392700
NA,PhHAL.3G393200
NA,PhHAL.3G395500
NA,PhHAL.3G395700
NA,PhHAL.3G397400
NA,PhHAL.3G398700
NA,PhHAL.3G399000
NA,PhHAL.3G399200
NA,PhHAL.3G400600
NA,PhHAL.3G401600
NA,PhHAL.3G402800
NA,PhHAL.3G404800
NA,PhHAL.3G409800
NA,PhHAL.3G410100
NA,PhHAL.3G410400
NA,PhHAL.3G411900
NA,PhHAL.3G413500
NA,PhHAL.3G414200
NA,PhHAL.3G415400
NA,PhHAL.3G419100
NA,PhHAL.3G419200
NA,PhHAL.3G426700
NA,PhHAL.3G428300
NA,PhHAL.3G429600
NA,PhHAL.3G430500
NA,PhHAL.3G431100
NA,PhHAL.3G431600
NA,PhHAL.3G431700
NA,PhHAL.3G432100
NA,PhHAL.3G432800
NA,PhHAL.3G433700
NA,PhHAL.3G434200
NA,PhHAL.3G435300
NA,PhHAL.3G435400
NA,PhHAL.3G437800
NA,PhHAL.3G439400
NA,PhHAL.3G441500
NA,PhHAL.3G441800
NA,PhHAL.3G444300
NA,PhHAL.3G449400
NA,PhHAL.3G449500
NA,PhHAL.3G450200
NA,PhHAL.3G451700
NA,PhHAL.3G453000
NA,PhHAL.3G457800
NA,PhHAL.3G458400
NA,PhHAL.3G459400
NA,PhHAL.3G459500
NA,PhHAL.3G462300
NA,PhHAL.3G467600
NA,PhHAL.3G468800
NA,PhHAL.3G469100
NA,PhHAL.3G469600
NA,PhHAL.3G470400
NA,PhHAL.3G470700
NA,PhHAL.3G472800
NA,PhHAL.3G476000
NA,PhHAL.3G477200
NA,PhHAL.3G478300
NA,PhHAL.3G478400
NA,PhHAL.3G478800
NA,PhHAL.3G481700
NA,PhHAL.3G484300
NA,PhHAL.3G486200
NA,PhHAL.3G486500
NA,PhHAL.3G487300
NA,PhHAL.4G002300
NA,PhHAL.4G003900
NA,PhHAL.4G004800
NA,PhHAL.4G005100
NA,PhHAL.4G005200
NA,PhHAL.4G009400
NA,PhHAL.4G009600
NA,PhHAL.4G010200
NA,PhHAL.4G010700
NA,PhHAL.4G012100
NA,PhHAL.4G013000
NA,PhHAL.4G014000
NA,PhHAL.4G014800
NA,PhHAL.4G014900
NA,PhHAL.4G016400
NA,PhHAL.4G018700
NA,PhHAL.4G018900
NA,PhHAL.4G019400
NA,PhHAL.4G022700
NA,PhHAL.4G022800
NA,PhHAL.4G023200
NA,PhHAL.4G025400
NA,PhHAL.4G026600
NA,PhHAL.4G027600
NA,PhHAL.4G027700
NA,PhHAL.4G028200
NA,PhHAL.4G033300
NA,PhHAL.4G033700
NA,PhHAL.4G034000
NA,PhHAL.4G034100
NA,PhHAL.4G034600
NA,PhHAL.4G037900
NA,PhHAL.4G039100
NA,PhHAL.4G041800
NA,PhHAL.4G042000
NA,PhHAL.4G043500
NA,PhHAL.4G044000
NA,PhHAL.4G044100
NA,PhHAL.4G044200
NA,PhHAL.4G046600
NA,PhHAL.4G047700
NA,PhHAL.4G050300
NA,PhHAL.4G050400
NA,PhHAL.4G052400
NA,PhHAL.4G053000
NA,PhHAL.4G054100
NA,PhHAL.4G057400
NA,PhHAL.4G057700
NA,PhHAL.4G060800
NA,PhHAL.4G061000
NA,PhHAL.4G061800
NA,PhHAL.4G061900
NA,PhHAL.4G063000
NA,PhHAL.4G077600
NA,PhHAL.4G077900
NA,PhHAL.4G078100
NA,PhHAL.4G078200
NA,PhHAL.4G080200
NA,PhHAL.4G081200
NA,PhHAL.4G081800
NA,PhHAL.4G084500
NA,PhHAL.4G087200
NA,PhHAL.4G090600
NA,PhHAL.4G096400
NA,PhHAL.4G097100
NA,PhHAL.4G098200
NA,PhHAL.4G099600
NA,PhHAL.4G100100
NA,PhHAL.4G101100
NA,PhHAL.4G102300
NA,PhHAL.4G102500
NA,PhHAL.4G102600
NA,PhHAL.4G102800
NA,PhHAL.4G104700
NA,PhHAL.4G104900
NA,PhHAL.4G105200
NA,PhHAL.4G105500
NA,PhHAL.4G105700
NA,PhHAL.4G105800
NA,PhHAL.4G106700
NA,PhHAL.4G106800
NA,PhHAL.4G109500
NA,PhHAL.4G110000
NA,PhHAL.4G110600
NA,PhHAL.4G112400
NA,PhHAL.4G113500
NA,PhHAL.4G116500
NA,PhHAL.4G117900
NA,PhHAL.4G118200
NA,PhHAL.4G119100
NA,PhHAL.4G119900
NA,PhHAL.4G120000
NA,PhHAL.4G120600
NA,PhHAL.4G121100
NA,PhHAL.4G122200
NA,PhHAL.4G126800
NA,PhHAL.4G129500
NA,PhHAL.4G133200
NA,PhHAL.4G133700
NA,PhHAL.4G135800
NA,PhHAL.4G136800
NA,PhHAL.4G137800
NA,PhHAL.4G137900
NA,PhHAL.4G138000
NA,PhHAL.4G143300
NA,PhHAL.4G152000
NA,PhHAL.4G156000
NA,PhHAL.4G156300
NA,PhHAL.4G157000
NA,PhHAL.4G157100
NA,PhHAL.4G158500
NA,PhHAL.4G161400
NA,PhHAL.4G163200
NA,PhHAL.4G166600
NA,PhHAL.4G167400
NA,PhHAL.4G167500
NA,PhHAL.4G168200
NA,PhHAL.4G169200
NA,PhHAL.4G169800
NA,PhHAL.4G169900
NA,PhHAL.4G170100
NA,PhHAL.4G170200
NA,PhHAL.4G170600
NA,PhHAL.4G175500
NA,PhHAL.4G177300
NA,PhHAL.4G180500
NA,PhHAL.4G180600
NA,PhHAL.4G183600
NA,PhHAL.4G188600
NA,PhHAL.4G189200
NA,PhHAL.4G189900
NA,PhHAL.4G190200
NA,PhHAL.4G192800
NA,PhHAL.4G194200
NA,PhHAL.4G194300
NA,PhHAL.4G195700
NA,PhHAL.4G198400
NA,PhHAL.4G198800
NA,PhHAL.4G200000
NA,PhHAL.4G200700
NA,PhHAL.4G205400
NA,PhHAL.4G208000
NA,PhHAL.4G209700
NA,PhHAL.4G212100
NA,PhHAL.4G213800
NA,PhHAL.4G215300
NA,PhHAL.4G220700
NA,PhHAL.4G225700
NA,PhHAL.4G225900
NA,PhHAL.4G226900
NA,PhHAL.4G227000
